analyte,sample_number,unit_note,value
copper,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0103791
zinc,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.036277
magnesium,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,3.34876
arsenic,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.0702
selenium,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0109879
bromine,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,3.79891
strontium,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0853929
barium,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.206807
lead,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000883861
methane,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0236136
hydrogen sulphide,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.02
hydrogen,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0198
carbon monoxide,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.015827
nitrate,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.027
ammonium,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.129
sulfate,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,210.0
chloride,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,604.0
phosphate,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.118
ferrous iron,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.9
bicarbonate,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,86.0
lithium,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.176939
boron,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.130305
sodium,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,70.1258
aluminium,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.22504
silicon,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,76.6309
potassium,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,14.4781
calcium,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,35.7215
vanadium,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00282005
chromium,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00158948
iron,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.544779
manganese,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00333467
zinc,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0258419
magnesium,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,21.3858
arsenic,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0176241
bromine,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0769499
strontium,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.211721
barium,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0855432
uranium,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,5.05253e-05
hydrogen,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0194909
carbon monoxide,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0351875
nitrate,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.541
ammonium,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.048
sulfate,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,129.0
chloride,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,11.8
phosphate,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.118
bicarbonate,P1.0033,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,110.0
lithium,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.4997
boron,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,7.72399
sodium,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,704.606
aluminium,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.813147
silicon,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,154.435
potassium,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,77.4413
calcium,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,16.5841
vanadium,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00563909
chromium,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00259093
iron,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.698049
manganese,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0160564
copper,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00924608
zinc,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0837735
magnesium,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,3.68375
